id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2020-736004,2020-07-15,1,Vente,160000.00,,,"LA COMBE",B011,90150,90002,Angeot,90,,,90002000ZD0008,,,,,,,,,,,,,0,,,,,T,terres,,,26890.00,,,000ZD
2022-1490335,2022-03-11,1,Vente,100000.00,,,"SUR LES VERGERS",B092,90140,90021,Charmois,90,,,90021000ZC0153,,,,,,,,,,,,,0,,,,,P,prés,,,3205.00,,,000ZC
2022-1491356,2022-07-21,1,Vente,17400.00,,,"ROUGE COURTIL",B082,90200,90102,Vescemont,90,,,901020000B0029,,,,,,,,,,,,,0,,,,,T,terres,,,654.00,,,0000B
2021-1529109,2021-03-04,1,"Vente en l'état futur d'achèvement",384428.44,,,,,,90033,Delle,90,,,90033000BT0274,,,9,,,,,,,,,,1,,,,,,,,,,7.0007460,47.5060660,000BT
2023-1204988,2023-05-19,1,Vente,3700.00,,,"PRES LE LOUP",B075,90330,90023,Chaux,90,,,900230000B0496,,,,,,,,,,,,,0,,,,,P,prés,,,2480.00,6.8604560,47.7117000,0000B
2023-1204988,2023-05-19,1,Vente,3700.00,,,"PRES BILLON",B060,90330,90023,Chaux,90,,,900230000B0884,,,,,,,,,,,,,0,,,,,P,prés,,,6255.00,6.8584480,47.7152530,0000B
2023-1204063,2023-01-03,1,Vente,202640.00,7,,"RUE PASTEUR",0230,90400,90032,Danjoutin,90,,,90032000BH0140,,,,,,,,,,,,,0,1,Maison,159.00,6,S,sols,,,528.00,6.8502970,47.6188620,000BH
2023-1204063,2023-01-03,1,Vente,202640.00,7,,"RUE PASTEUR",0230,90400,90032,Danjoutin,90,,,90032000BH0140,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,528.00,6.8502970,47.6188620,000BH
2023-1204064,2023-01-03,1,Vente,239450.00,18,,"IMP CLAUDE DEBUSSY",0274,90500,90009,Beaucourt,90,,,90009000AM0335,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,791.00,6.9125760,47.4842820,000AM
2023-1204064,2023-01-03,1,Vente,239450.00,18,,"IMP CLAUDE DEBUSSY",0274,90500,90009,Beaucourt,90,,,90009000AM0335,,,,,,,,,,,,,0,1,Maison,138.00,8,S,sols,,,791.00,6.9125760,47.4842820,000AM
2023-1204064,2023-01-03,1,Vente,239450.00,18,,"IMP CLAUDE DEBUSSY",0274,90500,90009,Beaucourt,90,,,90009000AM0335,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,791.00,6.9125760,47.4842820,000AM
